,SalePrice,SqFtTotLiving,ZipCode
8,358308,2240.0,98002
11,850000,3500.0,98166
22,465000,2360.0,98032
36,350000,1240.0,98168
39,520000,3030.0,98168
40,223000,1870.0,98168
45,545000,930.0,98144
75,415000,920.0,98055
76,280000,900.0,98055
80,100000,600.0,98055
82,315250,1160.0,98055
86,660000,1410.0,98122
88,905000,2360.0,98122
91,866250,2700.0,98122
93,659000,1310.0,98122
98,660000,1280.0,98122
100,812000,1630.0,98122
109,650000,1710.0,98122
110,1420000,3650.0,98115
113,861000,1530.0,98007
119,1220000,2960.0,98052
121,1270000,3030.0,98052
123,950000,2390.0,98052
124,1150000,2500.0,98052
127,1104000,2720.0,98052
129,1199000,3020.0,98052
131,1180000,3010.0,98052
132,440000,2280.0,98042
133,468000,2380.0,98042
147,460000,1400.0,98108
152,310000,700.0,98108
155,360000,1650.0,98002
156,300000,1060.0,98002
158,289950,1020.0,98002
159,345000,900.0,98002
160,295000,900.0,98002
161,300000,1410.0,98002
163,374950,1924.0,98002
165,305000,1050.0,98002
166,275000,840.0,98002
169,904990,2080.0,98052
172,659000,2470.0,98052
174,730000,1780.0,98052
175,940000,2800.0,98052
181,1045000,1820.0,98040
183,960000,1640.0,98040
185,1325000,3060.0,98040
186,860000,1970.0,98040
188,1479900,3660.0,98136
189,950000,1490.0,98136
195,699950,1240.0,98136
197,640000,1640.0,98136
198,571500,1340.0,98126
200,633450,2210.0,98126
201,600000,1740.0,98126
202,430000,1250.0,98126
203,579000,1180.0,98126
205,525000,1110.0,98126
207,365950,1130.0,98168
211,369000,1560.0,98168
219,500000,1250.0,98168
244,412000,1800.0,98168
248,366000,770.0,98188
249,323677,770.0,98188
253,450000,1860.0,98188
255,422000,790.0,98168
260,549000,1600.0,98188
268,522500,2280.0,98188
282,295000,2020.0,98023
285,669950,3322.0,98058
300,664950,2525.0,98058
302,685000,2525.0,98058
303,685000,2525.0,98058
373,935000,1680.0,98116
374,271236,1940.0,98116
377,942500,2020.0,98116
380,453000,2120.0,98032
389,755000,2170.0,98126
390,728000,1680.0,98126
393,605000,1360.0,98126
394,760000,2120.0,98136
396,972000,1520.0,98126
397,400000,1270.0,98136
399,720000,1810.0,98126
400,705000,2120.0,98126
402,705000,2120.0,98126
417,389950,960.0,98146
418,575000,3010.0,98146
419,380000,980.0,98146
424,590000,2910.0,98055
428,395000,910.0,98055
429,590000,2050.0,98055
431,625000,2550.0,98055
434,440000,2140.0,98055
442,505000,2280.0,98055
453,725000,2878.0,98055
460,500000,1660.0,98055
462,1050000,2060.0,98103
463,1675000,3150.0,98103
464,790000,1800.0,98103
465,1740000,5560.0,98075
466,1295000,4580.0,98075
467,1560000,6350.0,98075
468,1307000,5220.0,98075
469,1300000,4310.0,98075
472,1260000,3910.0,98075
473,1295000,5210.0,98075
477,1285500,4140.0,98075
478,1250000,4400.0,98075
479,1592500,5290.0,98075
480,1380000,4840.0,98075
481,1175000,3950.0,98075
482,949000,3470.0,98075
483,1017500,3490.0,98075
485,1015000,3780.0,98075
490,1625000,4780.0,98024
537,395000,1460.0,98003
538,387400,1680.0,98003
539,445000,1480.0,98003
540,311000,1480.0,98003
542,360000,1400.0,98023
544,385000,1330.0,98023
545,409950,2330.0,98023
546,388000,1550.0,98023
547,381000,1390.0,98023
548,311000,1560.0,98023
549,352000,1560.0,98023
557,490000,2150.0,98031
559,1215000,1180.0,98115
561,420000,1852.0,98003
562,388000,1670.0,98003
563,387500,2180.0,98023
566,396000,1863.0,98023
567,355000,1250.0,98023
570,389000,1720.0,98023
571,377000,1520.0,98023
574,352500,1450.0,98023
577,325000,1490.0,98023
579,308500,1100.0,98023
580,357500,1100.0,98023
582,350000,1430.0,98023
583,375000,1430.0,98023
586,350000,1570.0,98023
587,372000,1530.0,98023
589,328000,1740.0,98023
590,367400,1550.0,98023
591,375000,1480.0,98023
592,385000,1670.0,98023
594,390000,1640.0,98023
599,450000,1960.0,98023
601,395000,1940.0,98023
604,399950,1990.0,98023
605,395000,1870.0,98023
610,421000,1980.0,98023
613,412000,1860.0,98023
615,555000,1090.0,98117
617,700000,1200.0,98177
619,570000,1340.0,98177
621,730000,1820.0,98177
622,1040000,1650.0,98177
624,675000,1650.0,98177
628,440000,1910.0,98023
629,450000,2440.0,98023
630,425000,2610.0,98023
631,400000,1970.0,98023
632,449500,2410.0,98023
633,405000,2560.0,98023
636,315000,1340.0,98032
640,489500,2160.0,98031
641,429900,1630.0,98031
645,400000,1230.0,98168
647,560000,1980.0,98019
648,565000,1960.0,98019
649,590000,1760.0,98028
661,470000,1620.0,98028
663,645000,2020.0,98028
667,825000,2220.0,98028
670,410600,890.0,98028
671,682088,2200.0,98028
675,579000,1300.0,98028
756,649000,1680.0,98028
759,340000,1160.0,98028
761,541950,1370.0,98028
763,319000,1700.0,98023
766,407000,2120.0,98023
771,400000,1910.0,98023
772,348000,1250.0,98023
779,524950,1070.0,98116
788,2930580,4080.0,98033
789,1375000,1997.0,98092
791,1500000,3030.0,98092
798,1597000,3710.0,98075
800,505000,680.0,98070
806,485000,1800.0,98023
812,599900,3070.0,98023
817,885000,2160.0,98042
820,350000,960.0,98042
823,609950,2840.0,98042
827,600000,1671.0,98070
828,680000,3668.0,98070
842,447500,1580.0,98038
853,769725,2120.0,98107
855,460000,1690.0,98146
856,420000,1040.0,98106
857,460000,1150.0,98106
860,350000,1420.0,98146
861,415000,1260.0,98146
862,320000,1080.0,98106
863,738650,2510.0,98106
867,649950,1320.0,98106
869,550000,1640.0,98146
873,155000,1080.0,98146
876,472000,1050.0,98146
878,520000,1570.0,98126
881,630000,2100.0,98146
886,433000,1090.0,98146
888,495000,1600.0,98146
907,750000,2660.0,98059
910,790000,1440.0,98008
912,888000,2900.0,98008
913,760000,1400.0,98008
916,1125000,2490.0,98008
921,3198000,3520.0,98075
922,1672800,4190.0,98075
931,692000,1030.0,98117
932,845000,1390.0,98117
965,533000,1680.0,98177
970,734000,2230.0,98177
974,1400000,3080.0,98177
975,1400000,4950.0,98177
977,675000,1730.0,98177
981,585000,1510.0,98177
984,710000,2940.0,98177
986,520000,2510.0,98133
988,970000,3410.0,98177
989,970000,3410.0,98177
990,100000,1800.0,98177
991,687500,1690.0,98177
994,690000,2270.0,98177
995,649950,1810.0,98177
998,660000,2440.0,98177
1009,490000,1620.0,98028
1010,516445,1200.0,98028
1011,675000,1300.0,98028
1012,520000,1680.0,98028
1014,530000,1670.0,98028
1017,530000,2180.0,98028
1018,765000,2910.0,98028
1020,675000,2190.0,98028
1022,985000,3830.0,98028
1023,660000,2610.0,98028
1031,620000,2500.0,98072
1042,530000,1400.0,98072
1043,450000,960.0,98072
1044,685200,2200.0,98072
1047,915000,3420.0,98072
1048,1135000,3490.0,98072
1058,407000,900.0,98133
1059,116385,1880.0,98001
1060,328000,1210.0,98001
1062,380000,2070.0,98001
1063,345000,1570.0,98001
1065,317000,1966.0,98001
1067,350000,2180.0,98001
1073,974000,1940.0,98125
1074,1060000,2270.0,98115
1076,880000,2160.0,98115
1077,858000,3230.0,98115
1080,375000,1180.0,98168
1084,565000,1810.0,98168
1087,458600,2840.0,98168
1089,429000,1710.0,98168
1107,661000,1500.0,98116
1121,1342500,3560.0,98116
1122,785000,1690.0,98116
1130,1295000,3620.0,98116
1131,1285000,2790.0,98116
1132,870000,1780.0,98116
1144,1065000,2200.0,98116
1146,1100000,1880.0,98116
1147,1125000,2380.0,98116
1166,754000,2140.0,98133
1167,800000,2130.0,98133
1171,699000,1660.0,98133
1172,279000,1340.0,98022
1177,329000,550.0,98168
1179,188500,550.0,98178
1181,300000,740.0,98178
1182,300000,518.0,98178
1184,280000,800.0,98178
1188,560000,2470.0,98178
1189,565000,2230.0,98168
1191,639000,2620.0,98178
1197,610000,2510.0,98178
1200,550000,1800.0,98178
1206,270000,1210.0,98178
1207,421900,1210.0,98178
1214,923500,2500.0,98034
1218,730000,1540.0,98102
1232,1055700,2780.0,98040
1233,1250000,1820.0,98040
1234,1275000,3490.0,98040
1236,1308550,2010.0,98040
1237,1308550,2010.0,98040
1240,1400000,3240.0,98040
1243,1200000,3480.0,98040
1260,515000,1280.0,98045
1261,527000,1220.0,98045
1266,384800,1537.0,98001
1272,400000,1240.0,98042
1275,385000,1470.0,98042
1276,399950,2120.0,98042
1277,890000,1870.0,98052
1278,679500,1190.0,98052
1279,763500,1870.0,98052
1291,650000,1800.0,98116
1292,560000,1320.0,98116
1293,1000000,2800.0,98116
1302,549000,1290.0,98070
1303,550000,1352.0,98070
1309,474950,2417.0,98030
1322,515400,2320.0,98148
1323,519000,1740.0,98148
1326,630000,1860.0,98028
1333,865000,2330.0,98011
1334,770000,2240.0,98011
1339,975000,2720.0,98011
1342,615000,1670.0,98052
1343,757500,1960.0,98052
1346,1950000,3110.0,98005
1350,740000,1570.0,98133
1352,1280000,3040.0,98053
1356,600000,2320.0,98053
1359,730000,1600.0,98053
1360,765000,2200.0,98053
1362,703000,1690.0,98053
1365,749950,3150.0,98053
1367,640000,1970.0,98053
1369,880000,2440.0,98053
1376,470000,1070.0,98053
1377,450000,1630.0,98053
1378,450000,1300.0,98053
1380,488500,1390.0,98053
1381,860000,2410.0,98053
1387,899000,3560.0,98092
1388,899000,3560.0,98092
1393,1121000,2700.0,98115
1397,450000,1780.0,98133
1398,675000,1890.0,98133
1399,258000,1840.0,98133
1400,575000,1840.0,98133
1401,669000,2930.0,98133
1405,1411000,2280.0,98116
1406,1250000,2500.0,98116
1409,234932,4080.0,98022
1410,650000,1970.0,98022
1415,715000,2527.0,98070
1426,480000,2110.0,98001
1427,460000,1500.0,98001
1428,600000,3570.0,98001
1431,528000,2750.0,98001
1434,633500,2920.0,98001
1437,280000,2650.0,98001
1440,410000,1600.0,98042
1442,616000,2410.0,98042
1444,405000,2030.0,98042
1448,598500,4340.0,98042
1449,420000,2510.0,98042
1451,395000,1620.0,98042
1459,624000,2100.0,98070
1463,610000,2010.0,98038
1465,730000,2760.0,98038
1469,719900,2470.0,98038
1472,550000,2480.0,98038
1489,620000,1500.0,98146
1492,799950,2040.0,98146
1497,499000,1400.0,98146
1498,650000,2420.0,98146
1499,676000,2090.0,98146
1500,1415000,3290.0,98146
1503,378000,980.0,98118
1504,550000,1270.0,98178
1507,375000,990.0,98178
1516,1020000,4560.0,98065
1517,1180000,2500.0,98065
1528,910000,1710.0,98008
1533,787500,1340.0,98007
1538,1525000,3690.0,98007
1542,820000,2160.0,98075
1547,1525000,2940.0,98075
1550,870000,2390.0,98027
1551,894000,2550.0,98075
1558,575000,770.0,98117
1562,700000,1070.0,98117
1564,594500,850.0,98117
1567,780000,1060.0,98117
1568,715979,1810.0,98117
1570,820000,1700.0,98117
1584,1950000,4880.0,98053
1587,1929990,4910.0,98053
1599,2045000,4010.0,98033
1600,550000,1000.0,98033
1601,750000,1180.0,98033
1602,1215000,2680.0,98033
1608,1650000,3730.0,98177
1609,1175000,2930.0,98177
1613,685000,2360.0,98177
1616,594000,2500.0,98177
1619,721500,2060.0,98177
1620,855000,2800.0,98177
1622,1100000,2460.0,98177
1624,625000,1630.0,98177
1625,1072000,3780.0,98177
1628,1050000,2980.0,98177
1632,1500,1960.0,98028
1633,640000,2090.0,98028
1634,774900,2680.0,98072
1637,600000,1840.0,98072
1639,695000,2090.0,98072
1641,775000,2570.0,98072
1644,1350000,4070.0,98072
1652,1250000,5140.0,98077
1666,585000,2020.0,98108
1668,530000,2520.0,98108
1669,650000,1560.0,98118
1671,414950,1610.0,98188
1672,427000,1740.0,98188
1673,415000,1790.0,98188
1675,452000,1400.0,98188
1678,1243500,4100.0,98188
1681,580000,2940.0,98188
1682,410000,2940.0,98188
1683,872500,2760.0,98188
1685,425000,1890.0,98188
1689,350000,1750.0,98188
1692,402000,1460.0,98188
1696,501000,1830.0,98188
1698,425000,1520.0,98188
1699,350000,1150.0,98188
1700,474500,1530.0,98188
1701,624000,2530.0,98188
1702,392000,1640.0,98188
1705,523000,2900.0,98166
1706,590000,2710.0,98166
1708,455000,1250.0,98166
1712,440000,1430.0,98166
1714,642500,2400.0,98166
1719,345000,970.0,98148
1731,350000,1610.0,98023
1737,1362500,1300.0,98004
1752,1455000,1710.0,98004
1754,1460000,2130.0,98004
1755,1300000,2490.0,98004
1763,453500,2050.0,98003
1765,460000,2490.0,98003
1766,430000,1950.0,98003
1772,410000,1360.0,98059
1774,500000,1670.0,98059
1775,2100000,3430.0,98004
1776,3050000,4900.0,98004
1778,2360000,3560.0,98004
1779,2525000,3020.0,98004
1780,450000,2530.0,98042
1781,438000,1570.0,98042
1782,700000,4320.0,98042
1790,325000,1380.0,98003
1797,325000,1340.0,98003
1806,520000,1860.0,98028
1808,887500,2620.0,98072
1809,396000,880.0,98146
1810,795000,2210.0,98146
1811,530000,1050.0,98146
1813,552000,1720.0,98146
1815,410000,840.0,98146
1836,663500,1790.0,98072
1839,318950,1260.0,98002
1858,1095000,3450.0,98074
1878,748000,3360.0,98019
1879,788000,2830.0,98019
1882,739000,3560.0,98019
1884,455000,1380.0,98019
1886,400000,1660.0,98001
1900,451500,2280.0,98168
1909,665000,1880.0,98177
1911,530000,1480.0,98177
1913,840000,2290.0,98177
1915,870000,2390.0,98008
